ImageID,Image,Description,Keywords
0,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_0.jpg,a drawing of a flower in a circle,"flower, drawing, circle"
1,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_1.jpg,a drawing of a fish in a circle,"fish, drawing, circle"
2,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_10.jpg,a painting of a woman sitting on a chair,"woman sitting, painting, chair"
3,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_100.jpg,a painting of a woman with a basket and a bird,"woman, painting, bird, basket"
4,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_101.jpg,a painting of three women in a garden,"three women, painting, garden"
5,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_102.jpg,a painting of a woman with a pink dress,"pink dress, woman, painting"
6,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_103.jpg,a painting of a lion in the clouds,"painting, lion, clouds"
7,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_104.jpg,a painting of a lion with green foliage on its head,"green foliage, painting, lion, head"
8,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_105.jpg,a painting of a rock with a tree growing on it,"tree growing, rock, painting"
9,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_106.jpg,a lion with a fire on its face,"lion, fire, face"
10,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_107.jpg,a painting of an angel with wings,"wings, painting, angel"
11,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_108.jpg,a painting of a wave crashing into the ocean,"wave crashing, painting, ocean"
12,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_109.jpg,a painting of trees with red and blue leaves,"blue leaves, trees, red, painting"
13,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_11.jpg,a painting of a woman in a red dress,"red dress, woman, painting"
14,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_110.jpg,a painting of a red sky and trees,"red sky, trees, painting"
